Username,Date,Rating
alp_arslan92,2024/0/13,2754
alp_arslan92,2024/0/15,2753
alp_arslan92,2024/0/16,2759
alp_arslan92,2024/0/17,2724
alp_arslan92,2024/0/18,2703
alp_arslan92,2024/0/22,2725
alp_arslan92,2024/0/23,2748
alp_arslan92,2024/0/25,2673
alp_arslan92,2024/0/26,2674
alp_arslan92,2024/0/27,2618
alp_arslan92,2024/0/28,2447
alp_arslan92,2024/0/30,2461
alp_arslan92,2024/0/31,2548
alp_arslan92,2024/1/1,2661
alp_arslan92,2024/1/2,2666
alp_arslan92,2024/1/3,2704
alp_arslan92,2024/1/4,2614
alp_arslan92,2024/1/5,2598
alp_arslan92,2024/1/6,2586
alp_arslan92,2024/1/8,2641
alp_arslan92,2024/1/9,2629
alp_arslan92,2024/1/10,2603
alp_arslan92,2024/1/11,2622
Thorwald5,2024/1/4,2488
Thorwald5,2024/0/22,2439
Thorwald5,2024/0/23,2437
Thorwald5,2024/1/3,2527
Thorwald5,2024/1/4,2553
Thorwald5,2024/1/5,2523
Thorwald5,2024/1/6,2530
Thorwald5,2024/1/7,2536
Thorwald5,2024/1/8,2545
Thorwald5,2024/0/24,2454
Thorwald5,2024/0/25,2468
Thorwald5,2024/1/3,2446
Thorwald5,2024/1/4,2448
Thorwald5,2024/1/5,2437
Thorwald5,2024/1/6,2449
Thorwald5,2024/1/7,2423
Thorwald5,2024/1/8,2443
Thorwald5,2024/1/9,2431
Thorwald5,2024/0/25,2193
Thorwald5,2024/1/4,2004
Thorwald5,2024/0/25,2109
Thorwald5,2024/0/26,2667
Konnov_Oleg,2024/1/9,2652
Konnov_Oleg,2024/0/13,2602
Konnov_Oleg,2024/0/14,2573
Konnov_Oleg,2024/0/15,2568
Konnov_Oleg,2024/0/16,2611
Konnov_Oleg,2024/0/17,2603
Konnov_Oleg,2024/0/18,2615
Konnov_Oleg,2024/0/19,2574
Konnov_Oleg,2024/0/20,2589
Konnov_Oleg,2024/0/21,2560
Konnov_Oleg,2024/0/22,2570
Konnov_Oleg,2024/0/23,2582
Konnov_Oleg,2024/0/24,2582
Konnov_Oleg,2024/0/25,2600
